percentage_data,Country Low Percentage,region,Country Code,Country Name,GDP Low Year,sub-region,Country Low Year
"{u'2000': u'32.3', u'2010': u'9.3', u'2005': u'22.1'}",9.3,Asia,ARM,Armenia,3124.784018,Western Asia,2010
"{u'2000': u'39.9', u'2006': u'31.4', u'2012': u'16.7'}",16.7,Americas,HTI,Haiti,766.8722334,Caribbean,2012
"{u'2000': u'51.7', u'2006': u'37.7'}",37.7,Asia,TKM,Turkmenistan,2140.455472,Central Asia,2006
"{u'2000': u'84.5', u'2011': u'68.4', u'2005': u'81'}",68.4,Africa,ETH,Ethiopia,355.5889915,Eastern Africa,2011
{u'2001': u'12.5'},12.5,Americas,NIC,Nicaragua,1043.600758,Central America,2001
"{u'2001': u'88.8', u'2006': u'75.2', u'2010': u'87.2', u'2013': u'76.3'}",76.3,Africa,MLI,Mali,798.3184808,Western Africa,2013
"{u'2002': u'65.4', u'2007': u'52.5', u'2012': u'22.6'}",22.6,Asia,JOR,Jordan,4423.117355,Western Asia,2012
"{u'2002': u'70.7', u'2010': u'51.4'}",51.4,Africa,ERI,Eritrea,451.4266933,Eastern Africa,2010
"{u'2002': u'8.6', u'2014': u'2', u'2007': u'3.9', u'2013': u'2.3'}",2,Americas,DOM,Dominican Republic,6147.343569,Caribbean,2014
"{u'2002': u'85.4', u'2014': u'46.9', u'2007': u'61.9'}",46.9,Africa,ZMB,Zambia,1725.974549,Eastern Africa,2014
"{u'2003': u'22.1', u'2008': u'16.1'}",16.1,Americas,BOL,Bolivia,1736.924014,South America,2008
"{u'2003': u'24.1', u'2008': u'14.1', u'2013': u'12.9'}",12.9,Asia,PHL,Philippines,2786.950468,South-Eastern Asia,2013
"{u'2003': u'24.8', u'2007': u'30.8', u'2012': u'34.5'}",34.5,Asia,IDN,Indonesia,3700.523538,South-Eastern Asia,2012
{u'2003': u'39.2'},39.2,Asia,TUR,Turkey,4586.811203,Western Asia,2003
"{u'2003': u'54.1', u'2011': u'21'}",21,Africa,MOZ,Mozambique,524.8914529,Eastern Africa,2011
,"{u'2003': u'64.2', u'2008': u'43', u'2013': u'34.7'}"
,34.7,Africa,NGA,Nigeria,2979.84415,Western Africa,2013
"{u'2003': u'71.1', u'2006': u'71.4', u'2010': u'43.5'}",43.5,Africa,BFA,Burkina Faso,574.4580893,Western Africa,2010
{u'2004': u'63.9'},63.9,Africa,MAR,Morocco,1955.141931,Northern Africa,2004
"{u'2005': u'20.8', u'2012': u'11.2'}",11.2,Europe,MDA,Moldova,2046.536787,Eastern Europe,2012
"{u'2005': u'5', u'2007': u'3.6', u'2012': u'2.9'}",2.9,Europe,UKR,Ukraine,3855.42128,Eastern Europe,2012
{u'2005': u'6.9'},6.9,Asia,GEO,Georgia,1530.057521,Western Asia,2005
"{u'2005': u'67.4', u'2012': u'60.7'}",60.7,Africa,COG,"Congo, Rep.",3191.164299,Middle Africa,2012
"{u'2005': u'74.4', u'2012': u'59.6'}",59.6,Asia,TJK,Tajikistan,962.4391249,Central Asia,2012
"{u'2005': u'85.6', u'2012': u'92.1'}",92.1,Africa,GIN,Guinea,487.3457142,Western Africa,2012
"{u'2006': u'10.4', u'2011': u'12.2'}",12.2,Asia,KAZ,Kazakhstan,12102.68686,Central Asia,2011
"{u'2006': u'10.9', u'2013': u'2.7'}",2.7,Europe,MNE,Montenegro,7186.811455,Southern Europe,2013
"{u'2006': u'12.6', u'2011': u'8.6'}",8.6,Americas,BLZ,Belize,4516.23303,Central America,2011
"{u'2006': u'15.5', u'2012': u'12.4'}",12.4,Americas,HND,Honduras,2395.073442,Central America,2012
"{u'2006': u'2.8', u'2008': u'4.8', u'2009': u'5.7', u'2011': u'3.6', u'2010': u'4.9', u'2012': u'3.5'}",3.5,Americas,PER,Peru,6389.630576,South America,2012
"{u'2006': u'23.2', u'2001': u'28.8', u'2011': u'0.8'}",0.8,Asia,NPL,Nepal,695.8831983,Southern Asia,2011
"{u'2006': u'4.8', u'2012': u'4.8'}",4.8,Europe,BIH,Bosnia and Herzegovina,4494.64064,Southern Europe,2012
{u'2006': u'47.2'},47.2,Asia,IND,India,816.7337762,Southern Asia,2006
{u'2006': u'49'},49,Asia,AZE,Azerbaijan,2473.085776,Western Asia,2006
{u'2006': u'7.6'},7.6,Americas,TTO,Trinidad and Tobago,14095.99582,Caribbean,2006
"{u'2006': u'70.1', u'2012': u'59.6'}",59.6,Africa,NER,Niger,393.643423,Western Africa,2012
"{u'2006': u'70.2', u'2001': u'76.5', u'2011': u'58.3'}",58.3,Africa,UGA,Uganda,591.4386238,Eastern Africa,2011
"{u'2006': u'74', u'2013': u'58.4'}",58.4,Africa,GMB,"Gambia, The",484.112865,Western Africa,2013
{u'2006': u'75.7'},75.7,Africa,SOM,Somalia,542.615884,Eastern Africa,2006
"{u'2007': u'35.2', u'2013': u'28.2'}",28.2,Africa,NAM,Namibia,5420.81169,Southern Africa,2013
"{u'2007': u'59.3', u'2013': u'42.5'}",42.5,Africa,LBR,Liberia,453.339457,Western Africa,2013
"{u'2008': u'64.6', u'2013': u'62.8', u'2005': u'85'}",62.8,Africa,SLE,Sierra Leone,802.5356255,Western Africa,2013
"{u'2009': u'29.8', u'2005': u'29.8'}",29.8,Europe,ALB,Albania,4114.136545,Southern Europe,2009
{u'2009': u'30.8'},30.8,Asia,MDV,Maldives,6017.583854,Southern Asia,2009
"{u'2009': u'32.3', u'2004': u'28', u'2013': u'45.2'}",45.2,Africa,MDG,Madagascar,462.9739991,Eastern Africa,2013
"{u'2009': u'37.1', u'2004': u'48.3'}",37.1,Africa,LSO,Lesotho,859.8280659,Southern Africa,2009
{u'2009': u'9.7'},9.7,Asia,LBN,Lebanon,8403.109316,Western Asia,2009
"{u'2010': u'10.1', u'2005': u'20.4'}",10.1,Asia,MNG,Mongolia,2650.346885,Eastern Asia,2010
{u'2010': u'12.5'},12.5,Americas,SUR,Suriname,8430.905965,South America,2010
{u'2010': u'2.3'},2.3,Americas,COL,Colombia,6250.6545,South America,2010
"{u'2010': u'53.5', u'2005': u'59.6'}",53.5,Africa,TZA,Tanzania,708.5219323,Eastern Africa,2010
{u'2010': u'62.3'},62.3,Africa,TCD,Chad,895.8779959,Middle Africa,2010
{u'2010': u'68.4'},68.4,Asia,BTN,Bhutan,2201.293078,Southern Asia,2010
{u'2010': u'72.9'},72.9,Africa,BDI,Burundi,214.2309908,Eastern Africa,2010
{u'2010': u'78.5'},78.5,Africa,SSD,South Sudan,1563.904195,Eastern Africa,2010
{u'2010': u'79.6'},79.6,Africa,CAF,Central African Republic,446.8002046,Middle Africa,2010
{u'2010': u'86.2'},86.2,Asia,TLS,Timor-Leste,875.8365693,South-Eastern Asia,2010
"{u'2011': u'14.5', u'2005': u'20.7'}",14.5,Europe,MKD,"Macedonia, FYR",5079.962079,Southern Europe,2011
{u'2011': u'3.5'},3.5,Americas,CRI,Costa Rica,8963.680052,Central America,2011
{u'2011': u'37.9'},37.9,Africa,MRT,Mauritania,1402.669129,Western Africa,2011
{u'2011': u'4.9'},4.9,Americas,JAM,Jamaica,5332.474361,Caribbean,2011
{u'2011': u'51.2'},51.2,Asia,IRQ,Iraq,5828.764749,Western Asia,2011
{u'2011': u'90.2'},90.2,Asia,AFG,Afghanistan,622.3796544,Southern Asia,2011
{u'2012': u'13.1'},13.1,Asia,THA,Thailand,5915.221147,South-Eastern Asia,2012
{u'2012': u'2'},2,Americas,ARG,Argentina,14357.41159,South America,2012
{u'2012': u'3.3'},3.3,Americas,BRB,Barbados,15317.139,Caribbean,2012
{u'2012': u'30.3'},30.3,Africa,TUN,Tunisia,4179.464344,Northern Africa,2012
{u'2012': u'39'},39,Africa,COM,Comoros,750.3146086,Eastern Africa,2012
{u'2012': u'4.1'},4.1,Europe,BLR,Belarus,6721.834908,Eastern Europe,2012
{u'2012': u'47.9'},47.9,Africa,CIV,Cote d'Ivoire,1281.382865,Western Africa,2012
{u'2012': u'50.2'},50.2,Africa,GAB,Gabon,10642.43225,Middle Africa,2012
{u'2012': u'58.2'},58.2,Asia,LAO,Lao PDR,1445.86945,South-Eastern Asia,2012
{u'2012': u'6.5'},6.5,Americas,LCA,St. Lucia,7248.234552,Caribbean,2012
{u'2012': u'6.6'},6.6,Asia,QAT,Qatar,94407.40692,Western Asia,2012
{u'2013': u'1.5'},1.5,Americas,URY,Uruguay,16881.384,South America,2013
{u'2013': u'42.2'},42.2,Asia,PAK,Pakistan,1275.71275,Southern Asia,2013
{u'2013': u'48.7'},48.7,Asia,YEM,"Yemen, Rep.",1408.146193,Western Asia,2013
{u'2013': u'59'},59,Africa,DZA,Algeria,5491.614414,Northern Africa,2013
"{u'2014': u'10.2', u'2009': u'16.3', u'2007': u'23.6'}",10.2,Americas,GUY,Guyana,4028.163991,South America,2014
"{u'2014': u'12.9', u'2000': u'35.7', u'2010': u'12.6', u'2004': u'28.2'}",12.9,Africa,MWI,Malawi,362.2474866,Eastern Africa,2014
"{u'2014': u'19.1', u'2009': u'19.5'}",19.1,Africa,STP,Sao Tome and Principe,1810.721562,Middle Africa,2014
"{u'2014': u'19.9', u'2007': u'23.2'}",19.9,Africa,SWZ,Swaziland,3477.149246,Southern Africa,2014
"{u'2014': u'28.2', u'2006': u'63.8'}",28.2,Asia,VNM,Vietnam,2052.319084,South-Eastern Asia,2014
"{u'2014': u'28.3', u'2008': u'36.6', u'2003': u'48.5'}",28.3,Africa,GHA,Ghana,1441.636453,Western Africa,2014
"{u'2014': u'28.3', u'2011': u'32.5', u'2007': u'31'}",28.3,Asia,BGD,Bangladesh,1086.800087,Southern Asia,2014
"{u'2014': u'28.7', u'2006': u'53.2'}",28.7,Africa,TGO,Togo,629.9976439,Western Africa,2014
"{u'2014': u'3.8', u'2006': u'6.2'}",3.8,Europe,SRB,Serbia,6200.173221,Southern Europe,2014
{u'2014': u'3.9'},3.9,Americas,CUB,Cuba,5688.666732,Caribbean,2014
"{u'2014': u'32.8', u'2006': u'37.7', u'2012': u'33.7'}",32.8,Asia,KGZ,Kyrgyz Republic,1279.769783,Central Asia,2014
{u'2014': u'34'},34,Africa,SDN,Sudan,1875.843287,Northern Africa,2014
"{u'2014': u'35.7', u'2008': u'39.3', u'2005': u'50'}",35.7,Africa,EGY,"Egypt, Arab Rep.",3365.707421,Northern Africa,2014
"{u'2014': u'36', u'2001': u'60.4', u'2006': u'46.5', u'2012': u'16.2'}",36,Africa,BEN,Benin,903.464924,Western Africa,2014
"{u'2014': u'36.1', u'2011': u'46.5', u'2004': u'55.6'}",36.1,Africa,CMR,Cameroon,1407.403413,Middle Africa,2014
"{u'2014': u'37.4', u'2011': u'39.6', u'2006': u'47.7'}",37.4,Africa,ZWE,Zimbabwe,931.1981847,Eastern Africa,2014
"{u'2014': u'41.8', u'2006': u'51.5'}",41.8,Africa,GNB,Guinea-Bissau,615.9409222,Western Africa,2014
"{u'2014': u'41.8', u'2009': u'52.6', u'2003': u'67.9'}",41.8,Africa,KEN,Kenya,1368.491132,Eastern Africa,2014
"{u'2014': u'49.8', u'2010': u'45.5', u'2005': u'13.8'}",49.8,Asia,KHM,Cambodia,1094.576688,South-Eastern Asia,2014
{u'2014': u'5.7'},5.7,Americas,PAN,Panama,12712.43133,Central America,2014
"{u'2014': u'57.2', u'2011': u'60', u'2013': u'64.2', u'2005': u'65.2'}",57.2,Africa,SEN,Senegal,1067.131753,Western Africa,2014
{u'2014': u'7.9'},7.9,Asia,OMN,Oman,19309.61245,Western Asia,2014
"{u'2014': u'74.8', u'2007': u'75.6'}",74.8,Africa,COD,"Congo, Dem. Rep.",437.8149312,Middle Africa,2014
{u'2014': u'8'},8,Americas,SLV,El Salvador,4102.063852,Central America,2014
"{u'2015': u'41.4', u'2000': u'63.3', u'2010': u'56.2', u'2005': u'48'}",41.4,Africa,RWA,Rwanda,697.3482281,Eastern Africa,2015
