"Country","Country Code","Social Progress Index","Basic Human Needs","Foundations of Wellbeing","Opportunity","Nutrition and Basic Medical Care","Water and Sanitation","Shelter","Personal Safety","Access to Basic Knowledge","Access to Information and Communications","Health and Wellness","Environmental Quality","Personal Rights","Personal Freedom and Choice","Tolerance and Inclusion","Access to Advanced Education","Undernourishment","Depth of food deficit","Maternal mortality rate","Child mortality rate","Deaths from infectious diseases","Access to piped water","Rural access to improved water source","Access to improved sanitation facilities","Availability of affordable housing","Access to electricity","Quality of electricity supply","Household air pollution attributable deaths","Homicide rate","Level of violent crime","Perceived criminality","Political terror","Traffic deaths","Adult literacy rate","Primary school enrollment","Lower secondary school enrollment","Upper secondary school enrollment","Gender parity in secondary enrollment","Mobile telephone subscriptions","Internet users","Press Freedom Index","Life expectancy at 60","Premature deaths from non-communicable diseases","Obesity rate","Suicide rate","Outdoor air pollution attributable deaths","Wastewater treatment","Biodiversity and habitat","Greenhouse gas emissions","Political rights","Freedom of speech","Freedom of assembly/association","Freedom of movement","Private property rights","Freedom over life choices","Freedom of religion","Early marriage","Satisfied demand for contraception","Corruption","Tolerance for immigrants","Tolerance for homosexuals","Discrimination and violence against minorities","Religious tolerance","Community safety net","Years of tertiary schooling","Women's average years in school","Inequality in the attainment of education","Globally ranked universities","Percentage of tertiary students enrolled in globally ranked universities","Depth of food deficit - capped","Adult literacy rate - capped","Lower secondary school enrollment - capped","Upper secondary school enrollment - capped","Gender parity in secondary enrollment - difference from parity","Mobile telephone subscriptions - capped","Greenhouse gas emissions - capped","Globally ranked universities - bucketed","Percentage of tertiary students enrolled in globally ranked universities - bucketed"
"Finland","FIN",90.09,96.11,87.61,86.56,99.63,99.23,92.44,93.13,96.97,95.16,68.14,90.19,97.73,91.76,84.20,72.57,5,8,2.61311086750192,2.3,8.98593,100,100,97.6456582,0.675764853324002,100,6.6875,0,1.71796805321691,1,2,1,4.8,,99.51009,100.9302,181.60575,1.09287,139.663896204958,92.38,7.52,24.05006,11.22937,0.217,16.33907222,5.865867001,83.7225,96.93,297.799884288936,1,2,2,4,90,0.926365209372726,4,0.01,87.6,90,0.721262434232988,0.744254793497841,1.6,4,0.942089912691348,0.945008218288422,15.05,0.0205054,10,0.34973738628972,8,,100.0,100.0,0.093,100.0,297.8,6,4
"Canada","CAN",89.49,95.14,83.76,89.58,99.16,99.43,89.20,92.79,99.74,85.67,73.11,76.53,97.73,89.30,83.88,87.42,5,8,7.00464584498833,4.9,22.63701,,98.9999943,99.8182752,0.542223237968146,100,6.52894420731539,0,1.43936829356725,1,2,1,6,,99.47748,100.28285,119.30149,0.99735,81.0393164964622,87.12,10.99,24.92333,10.6733,0.212,10.46082284,15.566684365,69.8147305,74.5,494.633709649713,1,2,2,4,90,0.931468949190441,4,0.03,87.5,83,0.858635450142211,0.848139680584065,3.9,4,0.938671643619638,1.64092528820038,15.65,0.03856,27,0.466864117647059,8,,100.0,100.0,0.003,81.0,494.6,8,5
"Denmark","DNK",89.39,96.63,88.56,82.97,99.23,99.87,93.59,93.85,98.77,95.80,68.82,90.85,88.84,90.43,79.27,73.35,5,8,6.49691656058022,3.5,29.47551,100,100,99.5972251,0.734290799299712,100,6.69313907271706,0,0.749885783630254,1,2,1,3.5,,98.35458,116.6239,142.37397,1.0213,125.888127054011,95.99,8.24,22.88366,13.34976,0.198,10.92470987,15.514810857,91.5954306,97.6,213.354744788342,1,1,2,4,95,0.9395627302246,3,0,82,91,0.821708908685194,0.77395969702477,3.6,3,0.955311301646867,0.95282506942749,15.13,0.0296127,6,0.45431345677613,8,,100.0,100.0,0.021,100.0,213.4,5,5
"Australia","AUS",89.13,94.81,85.72,86.84,99.39,100,86.77,93.10,97.43,89.49,71.56,84.41,97.73,87.45,80.87,81.33,5,8,5.94881382022147,3.8,13.67428,,100,100,0.466860539826801,100,6.30312694197927,0,1.07280456120121,1,2,1,5.4,,97.35563,114.85434,180.81399,0.94644,131.230546848819,84.56,17.03,25.37798,9.43108,0.287,10.01405084,2.123927861,95,87.18,670.736438945246,1,2,2,4,90,0.914854630873037,4,0.01,83.1,79,0.838650165253876,0.763428039939512,4.4,4,0.951059267405367,1.05237686634064,14.54,0.019,35,0.538792415270145,8,,100.0,100.0,0.054,100.0,670.7,9,5
"Switzerland","CHE",88.87,96.26,88.44,81.89,99.38,99.96,91.80,93.92,96.86,91.34,75.22,90.34,87.70,89.60,75.39,74.88,5,8,5.18928715810953,3.9,14.46936,100,100,99.8766904,0.607908385597325,100,6.83548946213889,0,0.726185355656882,1,2,1,3.3,99,93.47996,110.31256,,0.97176,136.677398191887,87,13.85,25.48897,9.06965,0.177,12.88817353,19.146017596,95.1643916666667,90.43,116.288460842227,1,1,2,4,90,0.927802440357582,3,0.01,87.2,86,0.733394862161371,0.729018835192264,3.6,3,0.934999243129413,1.10184180736542,14.42,0.057249,11,0.457447455287373,8,99,100.0,,0.028,100.0,116.3,6,5
"Sweden","SWE",88.80,95.42,88.68,82.31,99.43,99.77,88.42,94.04,95.68,94.44,72.33,92.28,87.70,88.09,79.62,73.85,5,8,4.05108788573428,3,19.29732,100,100,99.3067381,0.50836527635581,100,6.49728428033682,0,0.916651101158312,1,2,1,2.8,,99.42095,111.60117,141.75372,1.13354,127.839262169305,92.52,9.47,24.06486,9.90926,0.194,12.17586726,6.512870863,93.2,88.76,130.315891874172,1,1,2,4,90,0.930307460940729,3,0.01,77.2,89,0.782965850070687,0.783875194652033,1.3,2,0.92342411744304,0.935909628868103,15.12,0.0346342,12,0.434238885211508,8,,100.0,100.0,0.134,100.0,130.3,7,4
"Norway","NOR",88.70,95.19,89.37,81.55,99.39,99.37,88.30,93.69,98.83,96.06,73.25,89.31,87.70,89.92,78.84,69.74,5,8,4.91837683421301,2.6,25.21199,100,100,98.0585832,0.464569889638998,100,6.66113172637092,0,0.92441115895221,1,2,1,3.8,,99.86459,99.09994,126.42837,0.96966,116.1330373352,96.3,7.75,24.24526,10.66333,0.186,10.60022145,3.437722209,83.83348,82.2,153.423271983315,1,1,2,4,90,0.936893739157987,3,0,84.6,87,0.808401257604227,0.825338805404335,3.7,3,0.931199060036119,0.974586308002472,15.42,0.0232217,4,0.293599461271025,8,,99.1,100.0,0.030,100.0,153.4,4,4
"Netherlands","NLD",88.65,95.23,88.86,81.85,99.24,99.26,92.44,90.00,99.16,94.70,74.39,87.21,87.70,89.63,76.52,73.54,5,8,6.91917593952877,3.8,25.54374,100,100,97.7262196,0.684945450511284,100,6.6475592975728,0,0.740391657192714,2,2,1,3.4,,98.8143,135.30887,126.11933,0.98612,116.423407687313,93.17,9.22,23.843,12.21161,0.143,8.966715512,24.844987518,99.27476525,90.38,269.545823295069,1,1,2,4,90,0.900786967060158,4,0,83.7,87,0.773052847502924,0.874059766003978,3.9,3,0.878552069715979,0.980976998806,14.69,0.0405123,13,0.306807042654578,8,,100.0,100.0,0.014,100.0,269.5,7,4
"United Kingdom","GBR",88.58,93.04,87.91,84.79,99.14,99.74,87.88,85.39,98.60,90.14,71.47,91.44,97.73,87.95,71.30,82.20,5,8,9.10932782716277,4.2,28.50098,100,100,99.2104299,0.45505341366627,100,6.60671441920696,0,0.95713716823702,2,3,1,2.9,,99.82744,111.36615,133.47315,1.04348,123.581084629246,91.61,20,24.00066,11.95816,0.25,6.439087502,16.318158317,96.338194,98.98,237.797153370795,1,2,2,4,90,0.829588089503316,4,0,92.6,81,0.833196899508024,0.828270065625869,5.6,2,0.933682862956955,0.958015382289886,14.9,0.0278598,84,0.573256463522112,8,,100.0,100.0,0.043,100.0,237.8,10,5
"New Zealand","NZL",88.45,93.52,85.33,86.51,99.08,99.87,86.11,89.01,97.50,92.42,69.70,81.69,98.86,87.82,83.96,75.41,5,8,11.2364035087081,5.7,18.00226,100,100,,0.471415072908366,100,6.13206768748404,0,1.03601583402515,2,2,1,6,,98.26603,102.97076,135.40684,1.06156,112.054689719466,85.5,10.06,25.11067,10.7352,0.29,10.86748251,11.117993956,70.192,92.75,535.210631433303,1,2,2,4,95,0.931770608244299,4,0.08,83.8,88,0.890691165416536,0.751815280757335,4.1,4,0.985592477034543,1.18537366390228,15.04,,8,0.476656504618283,8,,100.0,100.0,0.062,100.0,535.2,5,5
"Iceland","ISL",88.45,95.27,85.71,84.36,99.59,99.60,88.31,93.59,98.75,94.17,69.99,79.92,87.70,86.42,88.64,74.67,5,8,3.49745707892875,2,13.98407,100,100,98.7773515,0.458503897133297,100,6.6901040432065,0,0.305096199327889,1,2,1,4.6,,98.60999,97.30824,120.81942,0.99298,111.080192714665,98.16,13.87,24.46819,10.18276,0.279,10.3025128,4.244599343,60.06,66.04,210.16886823345,1,1,2,4,90,0.912187565760598,3,0.01,,79,0.783632646780936,0.822037711592505,1.3,4,0.957377243857934,1.30531024932861,14.86,0.0241753,1,0.730928320854495,8,,97.3,100.0,0.007,100.0,210.2,2,6
"Ireland","IRL",87.94,93.41,85.42,84.99,99.29,95.31,89.39,89.65,97.62,90.50,71.21,82.33,87.70,85.23,84.90,82.12,5,8,7.6995558908513,3.6,21.5292,97.8755012,97.8373335,90.4823206,0.576816198262722,100,6.42143826735647,0,1.10934259318404,2,2,1,4.1,,94.9173,114.76326,144.72475,1.01982,105.067581146549,79.69,11.2,24.06118,11.1079,0.227,10.0234063,8.849146465,51.1074435,90.51,290.555394413211,1,1,2,4,90,0.891626875179246,4,0,79.6,75,0.849320227908617,0.809838802914297,1.9,3,0.952942523759593,1.68279266357422,14.53,0.05367,9,0.538063862647171,8,,100.0,100.0,0.020,100.0,290.6,6,5
"Austria","AUT",86.60,95.67,86.84,77.28,99.46,100,90.03,93.20,96.15,90.97,71.19,89.04,87.70,85.66,72.67,63.09,5,8,3.80282083857046,3.5,12.60052,100,100,100,0.574037374261474,100,6.57980391563371,0,0.71430914490312,1,2,1,5.4,98,,99.47815,99.12974,0.95428,151.911251474679,81,10.85,24.11444,12.01781,0.18,12.81914426,20.655854913,94.3061733333333,93.33,211.827161928319,1,1,2,4,90,0.89660075636322,3,0,84.1,76,0.750380293550179,0.675881857544633,4.3,3,0.92519775895927,0.56060916185379,13.29,0.0348986,9,0.392495867900214,8,98,99.5,99.1,0.046,100.0,211.8,5,4
"Japan","JPN",86.54,96.17,87.10,76.36,99.27,99.58,92.25,93.56,99.86,87.19,79.69,81.66,95.45,78.89,56.75,74.35,5,8,5.42941662942557,2.7,33.91792,98.4529312,100,100,0.737381464769514,100,6.37524590646067,0,0.288732765623158,1,2,1,4.7,,99.95,101.35803,102.47501,1.00401,120.232998305005,90.58,26.95,26.4317,9.34599,0.039,17.78588596,18.07270502,56.5334333333333,93.25,301.267004042732,1,2,2,4,80,0.777776374600729,4,0.01,69.5,75,0.44995285533363,0.276306737076065,4.2,3,0.909946479178576,1.36750173568726,15.51,0.19813,49,0.174798051853745,8,,100.0,100.0,0.004,100.0,301.3,9,3
"Germany","DEU",86.42,94.42,87.41,77.42,99.30,99.75,88.95,89.70,97.66,92.05,70.16,89.77,79.11,84.68,71.34,74.53,5,8,6.17884246264741,3.7,21.6319,100,100,99.2191238,0.561385219958753,100,6.38730240368074,0,0.70348246655977,2,2,1,4.3,,98.46911,101.56133,104.19828,0.94828,120.420185505886,86.19,11.47,23.76277,12.31624,0.222,10.06701238,22.530020465,95.3016,100,256.792542015256,1,1,1,4,90,0.885285770121346,2,0,80.4,81,0.806150815689965,0.757277124736669,4.6,2,0.922654779289418,0.764718472957611,14.24,0.0244114,49,0.42602500552918,8,,100.0,100.0,0.052,100.0,256.8,9,4
