"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.81521","76.80775","72.42378","76.79607","72.36007","73.44491","75.11459","","80.51711","74.48249","77.71421","","76.93623","","","","",
"Andorra","AND","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","8.44359","","","","","","","","","","","","","","","","","","","15.55174","","","","","","","","","","","","","","28.04189","","","","","","48.87529","48.75032","",
"Angola","AGO","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","4.21337","","","","","","","","","","5.8063","","","","","","","","","","","","","","","","","","","","","","","","","","10.1277","10.60603","12.37506","","","","","",
"Albania","ALB","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.04211","68.75755","","","","","","","","","","","","84.02378","85.27821","",
"Arab World","ARB","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","20.65745","20.60345","21.09646","22.39772","22.88232","24.15186","25.6051","27.463","29.27379","30.7158","31.8551","32.38391","33.93062","35.13325","36.43745","37.92319","39.75241","40.91508","41.42886","42.1119","44.57627","44.73608","43.83746","44.51257","46.37686","46.47868","46.58391","47.81031","49.25113","50.73199","52.04792","53.52573","54.62405","56.6315","58.38733","58.43832","58.26328","57.43789","58.19658","60.01188","61.09549","63.33506","64.48333","63.10122","","",
"United Arab Emirates","ARE","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","26.8682","","37.36392","","","","","","","","","","","59.19457","61.59422","65.55525","70.83112","74.35999","","71.63289","71.47864","75.47998","","","","","","","","","","","","","","","","",
"Argentina","ARG","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","40.23707","41.72664","","","","","","","","","","","","","","","","","","","","","","","74.56531","","","","","","","","","","","81.26217","82.67211","83.95173","87.3181","88.16032","","",
"Armenia","ARM","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.59681","87.93843","90.15799","84.05499","89.10058","","","","","","",
"American Samoa","ASM","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.10701","","","","","","","","","86.49334","85.54702","","90.92281","","79.73144","",
"Australia","AUS","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.82004","86.81789","86.98398","88.63548","","","","","","88.3386","86.6425","86.28893","84.96111","84.37379","84.43958","84.81926","85.97519","86.23238","86.39829","86.11638","86.83034","","",
"Austria","AUT","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","68.72616","68.67346","","68.25228","70.26343","70.62379","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.01537","85.67907","86.81016","86.79877","86.02738","86.07425","86.80792","87.64969","88.04755","",
"Burundi","BDI","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","2.07553","2.10288","","","2.18169","","2.56104","2.39685","2.477","2.6869","2.90475","3.20064","","","","","","4.96068","","","","","","","","","","","","","","","","12.85387","14.87204","16.49577","17.89663","20.67532","24.94818","",
"Belgium","BEL","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","77.45255","","","","","","","","","","","","","","","","96.36156","98.0119","98.79733","97.22319","","","","","","","","85.7732","85.664","","","","","","","","94.90897","","",
"Benin","BEN","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.25822","18.64569","","","","","","","","","","","","42.03142","","",
"Burkina Faso","BFA","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","2.46756","","2.99355","3.50964","","","5.27344","","","6.67478","6.86091","6.86524","","","","","8.63809","","7.98013","","9.48854","10.55684","11.39635","12.2104","12.9184","14.76796","15.81624","16.48259","18.46772","19.75082","21.66167","","",
"Bangladesh","BGD","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","16.1555","14.17506","","","","15.58325","","18.89447","","","","19.13941","","","","","","","","","","","40.55367","43.59311","44.90648","46.15699","47.27697","47.07322","43.85653","42.59117","43.25932","44.06557","","44.98673","46.25018","45.87797","48.15595","52.59709","","",
"Bulgaria","BGR","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.73743","84.58091","84.60414","85.17005","86.23983","87.02009","87.62041","85.05535","86.42719","87.07498","86.65431","86.28842","85.30373","84.17479","84.14092","85.20056","85.34849","87.75442","88.16581","",
"Bahrain","BHR","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","44.4714","47.27457","50.75408","","","58.73478","69.90146","67.11283","72.65131","76.87449","73.89147","","75.86024","","","84.78922","","90.62707","91.99864","","85.95271","86.67099","86.63216","90.54411","91.27759","87.94388","88.12247","89.91911","91.24095","90.9026","","","","","","","","","",
"Bahamas, The","BHS","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","90.39679","","","90.4494","","","","","","","","89.13072","89.39219","85.76726","","","","","70.83905","","","","","79.61817","82.90294","84.92215","87.28677","86.13475","84.01834","82.68537","","","","","",
"Bosnia and Herzegovina","BIH","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.88607","94.23383","96.18483","98.14015","99.46545","",
"Belize","BLZ","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.26378","58.58054","60.15394","","68.07894","","65.05073","64.77684","64.21417","63.41598","63.74815","63.68799","65.40976","67.51124","69.20813","","",
"Bermuda","BMU","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","64.90172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.2124","73.19643","","","","",
"Bolivia","BOL","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.02817","71.49814","75.00589","","","74.24569","73.5308","72.57954","73.28939","73.1991","72.79428","74.00697","75.72735","","",
"Brazil","BRA","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","80.43386","","","84.58808","82.89461","82.89316","83.93738","87.78487","","","","81.8244","78.88106","","","","","","","","","94.89026","91.89429","86.52148","87.65247","89.50813","93.06996","92.20516","91.74959","92.13374","88.23348","84.39782","85.18267","88.81115","","","99.42875","",
"Brunei Darussalam","BRN","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","49.3625","49.10657","50.08802","51.36058","50.8094","52.30295","54.37997","51.87721","","","","","","","69.14884","64.78567","65.53002","66.77207","","","","","","","","","","","89.20668","90.34572","88.50681","88.06478","89.37856","90.21693","90.85092","92.8619","90.88397","87.03232","",
"Bhutan","BTN","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.29908","20.08123","22.38228","24.26635","","","","34.75417","37.78171","","45.47366","47.51483","52.07523","53.35622","56.55222","59.41894","62.83831","",
"Botswana","BWA","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","5.70021","6.39985","7.75304","8.75909","10.18449","11.42015","12.37976","12.32797","12.39706","14.18821","15.3452","","","19.019","21.82497","23.23965","","","28.13229","31.21045","38.6147","38.59466","41.60386","40.65611","40.37872","","","58.05208","53.03551","53.61185","","53.91738","55.50235","","","","","","","","","","62.83315","","",
"Central African Republic","CAF","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","3.96807","4.72921","5.31656","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.52727","","13.91438","13.60075","","","",
"Canada","CAN","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.77881","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.31667","81.38276","82.16085","81.95953","83.15237","84.17594","85.21107","85.94858","86.21829","86.0341","87.29352","87.62466","88.05577","88.89545","89.23463","89.71404","89.9587","89.7821","90.64233","","",
"Switzerland","CHE","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","78.63212","78.42787","78.13948","78.02957","77.90157","77.4595","77.05458","76.97086","76.64383","77.16781","77.9799","78.72521","79.82102","80.88181","","","","","84.43978","84.46952","83.94613","83.15619","83.12749","83.74365","84.48116","84.98051","84.60532","84.28671","83.40886","83.4709","83.00738","80.95638","","","",
"Channel Islands","CHI","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.90896","90.99375","88.46525","89.10345","88.37493","86.40678","88.56903","","",
"China","CHN","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","6.70719","7.48077","8.27911","8.87347","9.87515","10.79834","11.69599","12.76181","13.3809","13.86708","14.68599","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.79874","40.17092","43.13556","",
"Congo, Rep.","COG","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","17.48305","","28.43666","","36.61599","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.0672","68.90478","72.29704","73.89631","77.2222","","","","","","",
"Comoros","COM","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.93447","","",
"Cabo Verde","CPV","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.48987","","","","","","","24.14462","","","","","","","","55.33183","55.51619","54.96655","58.3755","59.21306","61.30338","","64.72047","65.13894","","68.20779","68.89154","69.11387","",
"Costa Rica","CRI","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","22.72619","","","31.31015","34.45662","34.56804","35.0086","","","37.99725","","38.68553","37.11361","","","34.35747","35.18016","36.0702","","36.6707","37.52984","38.01527","40.40652","41.24178","43.14664","43.26507","42.84315","","","","","","","","","","","","","","","75.85511","75.96668","77.12214","78.12114","",
"Caribbean small states","CSS","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","47.951","52.79465","54.47383","55.6334","57.10595","58.4291","61.02992","59.13178","59.06677","59.68023","59.54989","60.93298","61.22853","62.25918","63.92331","63.43439","64.58337","65.94678","66.05826","65.11179","66.89513","68.52165","70.12897","71.67339","72.50693","73.84756","73.23676","73.89073","74.35855","74.02845","76.6188","76.57952","77.06839","77.89825","77.99091","77.53586","76.1753","76.00476","73.36188","","","",
"Cuba","CUB","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","19.84134","21.7982","25.82838","","","","","59.28715","","","","","","","67.66947","67.1945","67.93528","69.38508","69.4547","69.42009","67.41387","","60.41031","","","","","76.28813","81.13037","83.04022","83.33677","85.68717","85.33438","86.2653","87.37671","86.81049","86.01229","84.57154","87.89724","88.78403","88.32042","89.46239","","",
"Curacao","CUW","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","51.22675","53.41565","57.92186","60.63356","58.58966","63.06022","63.54171","61.74633","61.92363","62.14433","62.03009","60.88027","60.91287","","","","","","","","","","","89.53134","89.54795","89.61305","89.00555","","87.81234","88.0464","88.30934","91.67274","92.80423","93.00759","94.10166","94.05908","95.09996","95.80445","95.52999","88.83383","89.68342","91.83179","93.17237","94.71498","",
"Czech Republic","CZE","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","9.08775","9.36859","9.97723","9.39388","","","","","","","","","11.1591","","","","14.20012","14.66608","","18.98729","20.82883","","","25.37618","","","","","","","",
"Dominica","DMA","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.08598","83.87143","81.84823","","87.73487","89.06502","88.16772","76.91341","","","76.59367","80.15759","78.93563","","","","",
"Denmark","DNK","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","88.04108","87.84094","87.1107","85.1461","83.99273","83.36546","83.63569","84.7149","86.38514","87.17767","87.18818","86.81436","86.60667","87.13433","86.76986","87.33878","","87.98638","","88.64723","89.52707","91.09999","93.97193","91.24975","91.63655","89.44451","89.30364","89.3834","89.88238","90.18886","91.25513","90.42643","90.41728","","",
"Dominican Republic","DOM","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.03596","39.91521","","50.04704","","49.12434","52.24584","","60.65335","59.14319","62.46679","61.98433","61.67561","62.48659","64.2272","65.45761","",
"Algeria","DZA","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","9.28236","","","","","","","","","","","","","38.77885","","","","","","","","","","","52.24994","52.75815","52.61339","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.56008","53.34149","53.627","54.0969","54.4631","55.98123","57.41411","58.30898","60.50194","63.9227","66.17072","68.38189","70.86945","73.65034","75.14306","77.13626","","",
"Early-demographic dividend","EAR","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
